iter	MAE
0	7.521830003
1	7.453902868
2	7.398114123
3	7.32680584
4	7.264961365
5	7.225056781
6	7.16784641
7	7.106795269
8	7.062095858
9	7.018159729
10	6.968477035
11	6.922177096
12	6.879739029
13	6.8475425
14	6.804908585
15	6.778151612
16	6.740866564
17	6.701044097
18	6.657537844
19	6.62631754
20	6.588668062
21	6.54987778
22	6.517448792
23	6.490789931
24	6.45280845
25	6.422305279
26	6.408568715
27	6.376765078
28	6.35589156
29	6.33240139
30	6.310525229
31	6.294053441
32	6.271412901
33	6.250672248
34	6.233362247
35	6.213146436
36	6.190227686
37	6.173333821
38	6.155613631
39	6.136888601
40	6.119239937
41	6.098715266
42	6.078964599
43	6.051374516
44	6.040438156
45	6.026307514
46	5.999191719
47	5.982654671
48	5.968234459
49	5.959097438
50	5.935415619
51	5.910464259
52	5.895609938
53	5.876198956
54	5.85644711
55	5.843596392
56	5.832801292
57	5.819014771
58	5.809228042
59	5.796068102
60	5.780172977
61	5.766167559
62	5.750974951
63	5.739089951
64	5.729409888
65	5.715291643
66	5.702380709
67	5.694448253
68	5.678930651
69	5.663560822
70	5.654481504
71	5.642693532
72	5.628303817
73	5.617245854
74	5.608254706
75	5.599651557
76	5.588613639
77	5.580321522
78	5.568092339
79	5.557770554
80	5.546146128
81	5.540010682
82	5.528378556
83	5.521401065
84	5.511281858
85	5.50321859
86	5.496283366
87	5.487071751
88	5.476653858
89	5.468778367
90	5.461500848
91	5.450857629
92	5.44468362
93	5.436460523
94	5.430087364
95	5.421260435
96	5.414208172
97	5.407300318
98	5.399170907
99	5.392872771
100	5.385550239
101	5.377734674
102	5.369388037
103	5.362282863
104	5.357858637
105	5.348193358
106	5.345170196
107	5.338825494
108	5.331438843
109	5.323878953
110	5.3167797
111	5.312104574
112	5.308107847
113	5.301990104
114	5.294303304
115	5.288150976
116	5.281646952
117	5.274704819
118	5.267333826
119	5.263786102
120	5.256957313
121	5.253946424
122	5.247156934
123	5.2396568
124	5.233274937
125	5.227318032
126	5.22412993
127	5.2195577
128	5.212576082
129	5.208942783
130	5.205276135
131	5.198330575
132	5.189346059
133	5.1862989
134	5.177990236
135	5.170374359
136	5.16525141
137	5.161747766
138	5.156794584
139	5.151279478
140	5.146854684
141	5.140267196
142	5.135090353
143	5.129062379
144	5.121651913
145	5.115397807
146	5.108705146
147	5.102770309
148	5.099082343
149	5.093562631
150	5.08896275
151	5.084532286
152	5.079592069
153	5.077942898
154	5.073102537
155	5.067607541
156	5.061909432
157	5.055816055
158	5.051447444
159	5.042652585
160	5.038374112
161	5.032863931
162	5.026001439
163	5.021769115
164	5.017873369
165	5.014511349
166	5.010804787
167	5.005207135
168	5.001097447
169	4.997219952
170	4.991758071
171	4.988128047
172	4.983087155
173	4.978383751
174	4.975394482
175	4.968098135
176	4.958629402
177	4.949003675
178	4.944066718
179	4.940085357
180	4.936847021
181	4.931247528
182	4.926189249
183	4.920726479
184	4.915858886
185	4.911496209
186	4.907390643
187	4.902757512
188	4.898777814
189	4.894981674
190	4.890755618
191	4.885830914
192	4.88285937
193	4.878923717
194	4.873969665
195	4.869306597
196	4.867522344
197	4.859826409
198	4.855711389
199	4.850322499
200	4.844349705
201	4.838635739
202	4.8339085
203	4.83042606
204	4.82765656
205	4.824912673
206	4.820158262
207	4.817827993
208	4.814014624
209	4.810951711
210	4.806388068
211	4.801340667
212	4.79510601
213	4.790359485
214	4.785590358
215	4.77832617
216	4.775375
217	4.771073744
218	4.768237818
219	4.763813513
220	4.756595902
221	4.752575117
222	4.748045633
223	4.745150606
224	4.740059787
225	4.738334705
226	4.734394286
227	4.732322045
228	4.7282769
229	4.722788315
230	4.719458232
231	4.716724323
232	4.712870196
233	4.705643544
234	4.703066091
235	4.70156756
236	4.696971248
237	4.693014666
238	4.690095411
239	4.688342818
240	4.685429049
241	4.682377589
242	4.680742071
243	4.678232208
244	4.672708174
245	4.669874639
246	4.665355057
247	4.662147061
248	4.659663831
249	4.656595222
250	4.654400979
251	4.650260373
252	4.647928439
253	4.644577484
254	4.643027877
255	4.638877793
256	4.636460426
257	4.632054847
258	4.629343158
259	4.626332516
260	4.623811937
261	4.621848655
262	4.616916171
263	4.614819119
264	4.611586473
265	4.607650307
266	4.605618486
267	4.601811168
268	4.597349419
269	4.589881946
270	4.584619732
271	4.580979265
272	4.579877652
273	4.575275387
274	4.571144308
275	4.569315625
276	4.565902061
277	4.562642619
278	4.55847413
279	4.554403063
280	4.549500915
281	4.548254756
282	4.54410058
283	4.542852411
284	4.539996396
285	4.534758275
286	4.531885064
287	4.531242535
288	4.53002048
289	4.529053081
290	4.526055858
291	4.525296652
292	4.521434414
293	4.516389989
294	4.514868222
295	4.511569333
296	4.50683091
297	4.502913432
298	4.500626141
299	4.497002944
300	4.495842674
301	4.493767882
302	4.489824099
303	4.487210132
304	4.484854939
305	4.480514208
306	4.479394304
307	4.478008717
308	4.477489955
309	4.475538959
310	4.471219656
311	4.468643479
312	4.466720844
313	4.465435195
314	4.461478808
315	4.459528066
316	4.45531333
317	4.454526747
318	4.4528473
319	4.451899141
320	4.448005575
321	4.446873992
322	4.445502086
323	4.441868169
324	4.440421161
325	4.435554992
326	4.433658559
327	4.43139094
328	4.429773972
329	4.429115571
330	4.424866933
331	4.421725895
332	4.418646596
333	4.417062901
334	4.415206888
335	4.413074118
336	4.409165844
337	4.406535823
338	4.405257611
339	4.401790859
340	4.399547803
341	4.397931332
342	4.394236743
343	4.391931681
344	4.388667257
345	4.385924453
346	4.383133918
347	4.380727533
348	4.379093442
